34.2324727,-85.9151649
34.2326616,-85.9157898
34.5917490,-85.6431320
34.5973960,-85.6396420
34.4350310,-85.7517690
34.4395840,-85.7459430
34.5789900,-85.6545800
34.5791090,-85.6547720
34.2776110,-85.8780320
34.2732950,-85.8810090
34.4351930,-85.7512330
34.4397610,-85.7454240
34.5921370,-85.6424680
34.5968380,-85.6396470
34.6945200,-85.5709370
34.6985690,-85.5671550
34.6943070,-85.5714440
34.6986390,-85.5674030
34.4746507,-85.7146754
34.4801422,-85.7098338
34.2730590,-85.8804140
34.2775260,-85.8774010
34.6046080,-85.6367660
34.6047490,-85.6369320
34.4743899,-85.7145965
34.4796005,-85.7100096
34.5941100,-85.6410530
34.5941930,-85.6412500
34.1995649,-85.9453934
34.2013080,-85.9440860
34.2036020,-85.9422650
34.2041630,-85.9417920
34.2047200,-85.9413120
34.2052700,-85.9408300
34.2058080,-85.9403490
34.2063530,-85.9398540
34.2068860,-85.9393550
34.2074070,-85.9388540
34.2079240,-85.9383460
34.2086610,-85.9376050
34.2089510,-85.9373140
34.2109910,-85.9352380
34.2125110,-85.9336570
34.2130050,-85.9331240
34.2134960,-85.9325780
34.2139750,-85.9320170
34.2149180,-85.9308910
34.2162540,-85.9292440
34.2186210,-85.9263240
34.2199990,-85.9246140
34.2213940,-85.9229030
34.2218920,-85.9223590
34.2224220,-85.9218590
34.2229870,-85.9213880
34.2233830,-85.9210970
34.2235720,-85.9209580
34.2242020,-85.9205710
34.2248400,-85.9202100
34.2350990,-85.9144720
34.2376650,-85.9130410
34.2402300,-85.9116040
34.2443900,-85.9092850
34.2447220,-85.9091000
34.2453580,-85.9087330
34.2459890,-85.9083590
34.2466130,-85.9079690
34.2472250,-85.9075580
34.2478250,-85.9071410
34.2484110,-85.9067110
34.2489890,-85.9062630
34.2495620,-85.9058060
34.2501230,-85.9053300
34.2506740,-85.9048410
34.2512110,-85.9043450
34.2522410,-85.9033190
34.2532510,-85.9022670
34.2553720,-85.9000740
34.2572940,-85.8980740
34.2593210,-85.8959830
34.2633780,-85.8917810
34.2638290,-85.8913030
34.2643830,-85.8907170
34.2647120,-85.8903580
34.2653690,-85.8896400
34.2663530,-85.8885500
34.2673440,-85.8874730
34.2683240,-85.8863910
34.2709610,-85.8834960
34.2725180,-85.8817860
34.2727690,-85.8815230
34.2730240,-85.8812670
34.2738260,-85.8805190
34.2740890,-85.8803030
34.2743970,-85.8800510
34.2749790,-85.8796140
34.2755810,-85.8792030
34.2762110,-85.8788170
34.2780970,-85.8777570
34.2794080,-85.8770160
34.2806940,-85.8763030
34.2826150,-85.8752220
34.2832510,-85.8748490
